判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
3550,4.7,1.06,18.67,5.07,-1,3550
1451,1.03,0.34,6.65,5.18,-1,1451
1776,6.4,0.88,17.1,6.23,-1,1776
6152,-8.4,-0.89,13.15,14.95,-1,6152
2498,-12.4,-5.66,16.53,26.23,-1,2498
2316,4.89,1.79,6.69,6.19,-1,2316
3266,1.55,0.33,18.23,6.05,-1,3266
2204,5.69,3.39,16.53,7.46,-1,2204
1710,4.84,0.77,8.14,5.21,-1,1710
1452,8.16,1.56,15.33,7.18,-1,1452
2392,4.13,2.77,10.25,5.49,-1,2392
2324,8.35,2.0,3.39,6.26,-1,2324
1909,7.11,1.48,16.05,5.74,-1,1909
1512,-71.55,-1.47,3.53,6.12,-1,1512
9905,7.27,1.75,14.13,5.3,-1,9905
1530,8.65,2.36,18.49,5.42,-1,1530
3060,-4.96,-1.04,7.67,9.5,-1,3060
1340,-1.69,-0.24,-13.0,9.4,-1,1340
3607,-13.63,-4.07,0.96,9.13,-1,3607
3673,2.97,2.57,4.42,6.18,-1,3673
1314,5.13,1.21,9.95,6.8,-1,1314
1626,0.68,0.19,16.38,5.23,-1,1626
2929,-1.56,1.7,12.22,29.47,-1,2929
2353,8.39,1.69,10.89,5.56,-1,2353
2034,9.91,1.93,11.24,5.32,-1,2034
2485,-1.14,-0.19,6.19,6.72,-1,2485
2356,9.33,1.83,4.61,6.55,-1,2356
2489,6.82,1.22,9.76,11.48,-1,2489
1108,1.71,0.21,8.77,5.47,-1,1108
1608,6.86,1.1,5.16,6.14,-1,1608
4930,4.45,0.66,15.68,10.23,-1,4930
1439,6.67,1.68,1.5,6.72,-1,1439
6108,7.14,1.68,13.95,8.54,-1,6108
2537,1.44,0.2,19.87,8.6,-1,2537
8249,5.71,1.54,13.49,6.06,-1,8249
3015,3.94,2.06,11.95,5.43,-1,3015
4532,8.43,1.62,13.37,5.3,-1,4532
